property_id,specification_anchor,claim,lean_theorem,implementation_target,implementation_tool,result,evidence,scope,implementation_status,evidence_kind,human_review_status
APYX-PM-obligations-ledger,life#59 Proof Map v2 §V2-C / §4,"Vault custody, circulating supply, pending unlock liabilities, and the credited yield stream MUST be tracked in one accounting measure with exact per-operation conservation deltas.",apxUSDObligations; apxUSDObligations_pullVestedYield; apxUSDObligations_lockApxUSD; apxUSDObligations_requestUnlock; apxUSDObligations_flexibleRequestUnlock; apxUSDObligations_claimUnlock; apxUSDObligations_flexibleClaimUnlock; apxUSDObligations_withdraw; apxUSDObligations_redeem; apxUSDObligations_creditYield; apxUSDObligations_tick,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (model-local) / impl=not-run,"Accounting.lean — Requests, claims, lock, and both vault exits are exactly neutral under the unified measure (the vault-exit channel SolventOutstanding had to exclude becomes conservation); the flexible claim sheds exactly its fee; creditYield adds exactly the credited amount; the vest pull is internal motion. Phase-scoped invariants over this measure are V2-INV work.",model-local,not-run,model-proof,pending
APYX-PM-phase-structure,life#59 Proof Map v2 §V2-B,"The protocol phases MUST be explicit: normal operation, an absorbing stress phase entered by a stress event, and a backstop that fires only inside stress.",NormalPhase; StressPhase; stressPhase_absorbing,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (model-local) / impl=not-run,"Phase.lean — Phases are derived from emergencyFlag, the model's single phase bit: only handleStressEvent raises it, nothing clears it (stressPhase_absorbing), and req_catastrophic_backstop proves the backstop's stress-phase guard.",model-local,not-run,model-proof,pending
APYX-PM-exception-contracts,life#59 Proof Map v2 §V2-B,"Operations that cannot satisfy the conservation invariant by design MUST have named, separately proved contracts instead of silent exclusions: stress bounds the solvency degradation by the stress amount, the backstop conserves via the explicit residual, and the reserve outflow has exact deltas.",StressContract; handleStressEvent_contract; BackstopContract; catastrophicBackstop_contract; ReserveOutflowContract; withdrawReserve_contract,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (model-local) / impl=not-run,"Phase.lean — StressContract proves collateral falls by exactly the stress amount with pending-aware solvency degrading by at most that amount; BackstopContract packages the repricing, pro-rata credits, reserve zeroing, and obligation-ledger frame; ReserveOutflowContract quantifies the admin outflow. All three frame apxUSDObligations.",model-local,not-run,model-proof,pending
APYX-PM-total-classification,life#59 Proof Map v2 §V2-B,"Every operation MUST be classified — invariant-preserving or a named exception — with no implicit exclusions, and one theorem MUST deliver the governing rule for every operation.",opCoverage; stepContract,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (model-local) / impl=not-run,"Phase.lean — opCoverage proves by case analysis that every Op is either OutstandingScopedOp (the preserving class) or one of the five named exceptions; stepContract delivers per-class rules for all operations in one statement: ProtocolInvFull preservation, vault-exit conservation (via V2-ACC), and the three exception contracts.",model-local,not-run,model-proof,pending
APYX-PM-transition-coverage,life#59 Proof Map v2 §V2-TRANS,"Every public operation MUST have a delta/frame/reject contract: success-inversion effect boundaries for money-moving operations and frame families for the rest, over the total accepted/reverted transition result.",lockApxUSD_guards; lockApxUSDStep_effect; depositUSDCStep_effect; mintApxUSDStep_effect; redeemApxUSDStep_effect; executeRFQRedemptionStep_effect; executeRFQRedemption_reverts_without_counterparty; executeRFQRedemption_reverts_without_request; withdrawReserveStep_effect; poolRedeemStep_effect; requestUnlockStep_effect; flexibleRequestUnlockStep_effect; claimUnlockStep_effect; flexibleClaimStep_effect; withdrawStep_effect; redeemStep_effect; stepResult_total,Apyx deployed contracts,none (hand-off: README §6.4),model=partial / impl=not-run,"Arithmetic.lean + Apyx.lean + Transition.lean — Money-moving operations expose success-inversion boundaries; lockApxUSD now has its exact public post-state, and RFQ execution has explicit negative guard theorems for unauthorized counterparties and over-sized requests. The sixteen admin/config operations remain covered by frame families rather than per-op effect inversions; implementation refinement is not run.",model-local,not-run,model-partial,pending
APYX-PM-arithmetic-safe,life#59 Proof Map v2 §V2-D,"Every accepted step MUST be arithmetically safe: each Nat subtraction is guard-covered (no implicit truncation), division denominators are positive or their zero policy is explicit, and clamped subtractions are named.",ArithmeticSafe; accepted_arithmetic_safe; ray_pos; backstopPayout_sum_le_reserve; StressContract,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (model-local) / impl=not-run,Arithmetic.lean — accepted_arithmetic_safe packages the guard-derived no-underflow facts for all nine subtraction-bearing operations from the effect boundaries; ray and the +1-virtualized share divisor are positive; the backstop's zero-supply division pays zero (explicit policy); handleStressEvent's clamped collateral subtraction is intentional semantics stated in StressContract. Uint256 overflow remains an implementation-layer question (MulDivFidelity/model.md).,model-local,not-run,model-proof,pending
APYX-PM-time-separation,life#59 Proof Map v2 §V2-E / V2-TIME,"Time-dependent safety and liveness MUST be separate theorems: an early claim cannot succeed, and a matured claim has a successful trace; the clock moves only by tick and is monotone.",req_redemption_async_process; redemption_cycle_closes_after_cooldown; req_unlock_claimable_after_3d; flexible_fee_schedule_is_reachable; now_moves_only_by_tick; tick_advances_now_exactly; now_nondecreasing; fundedInit_settlement_trace,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (safety model-local; liveness witness) / impl=not-run,"Apyx.lean + Init.lean — The negative half (deadline > now → claim reverts) and the positive half (request → tick → claim trace exists, now also from the funded Init witness) are separate theorems, as v2 §V2-E requires; clock monotonicity is the three relational lemmas of proof-map v1 §5.3.",model-local; witness,not-run,attack-witness,pending
APYX-PM-claim-coverage,life#59 Proof Map v2 §V2-VALUE,"On every reachable state, each individually recorded unlock position MUST be covered by collateral plus reserve, derived from the accounting invariant.",standardUnlockTotal_covers; flexibleUnlockTotal_covers; pending_standard_claim_covered; pending_flexible_claim_covered; pending_standard_claim_covered_reachable; pending_flexible_claim_covered_reachable,Apyx deployed contracts,none (hand-off: README §6.4),"model=proved (reachable, restricted relation) / impl=not-run","Accounting.lean — Each recorded standard/flexible face amount is bounded by its liability total, hence by outstandingApxUSD, hence by collateral + reserve via SolventOutstanding — the claim-level non-depletion corollary derived through the v2 economic ladder, lifted to ReachInit states. Holder-value trace bounds remain the existing HolderValue.lean family.",reachable,not-run,model-proof,pending
APYX-PM-capability-frames,life#59 Proof Map v2 §V2-CAP,"Each privileged role MUST have a proved single-authority blast radius: the fields it can move, the funds it cannot touch, and the trace-level damage bound.",admin_frame; admin_cannot_touch_balances; admin_trace_blast_radius; pauser_cannot_extract; pauser_trace_blast_radius; yield_distributor_frame; yield_distributor_trace_blast_radius; oracle_frame; oracle_trace_blast_radius; no_role_transfers_user_funds; no_role_burns_user_shares; no_role_debits_usdc; no_role_seizes_unlock_position; user_assets_immune_to_total_key_compromise; no_theft_ledger,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (model-local; trace) / impl=not-run,"BlastRadius.lean — Per-role step frames and trace blast radii for admin, pauser, yield distributor, and oracle; the no-role family bounds what any single authority can move; user_assets_immune_to_total_key_compromise covers the all-keys coalition on user balances. The admin+RFQ coalition reserve drain is a documented finding (archive/audit-evidence/human_review_admin_rfq_coalition_drains.md), not a disproved theorem.",model-local; trace,not-run,model-proof,pending
APYX-PM-capability-outflows,life#59 Proof Map v2 §V2-CAP,"Privileged outflows MUST be quantified: the reserve moves only through redemption paths or the named admin outflow, price movement is admin-only, and per-window extraction is linearly bounded.",reserve_outflow_only_via_redemption; admin_alone_drains_reserve; admin_alone_moves_redemption_price; redemption_price_writers; redemption_price_admin_only; rate_limit_linear_bound; ReserveOutflowContract; withdrawReserve_contract,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (model-local; trace) / impl=not-run,BlastRadius.lean + Phase.lean — Reserve outflow channels are enumerated; the admin's bare withdrawal is exactly quantified by ReserveOutflowContract; rate_limit_linear_bound caps windowed extraction linearly in time. The deployed authority wiring behind caller=admin remains a config-review hand-off (README §6 item 16).,model-local; trace,not-run,model-proof,pending
APYX-PM-vault-preview-safety,life#59 Proof Map v2 §V2-G,"The vault previews MUST NOT favor the user: previewDeposit/previewRedeem report the exact floor conversions, previewMint/previewWithdraw charge the ceiling conversions, and withdrawing never burns fewer shares than an equal deposit mints.",vault_previewDeposit_exact; vault_previewMint_ceil; vault_previewWithdraw_ceil; vault_previewRedeem_exact; vault_withdraw_rounds_against_user,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (model-local) / impl=not-run,"Vault.lean — Named projections of req_erc4626_compliance, registered as vault accounting safety rather than an ABI-compliance claim; the deployed single-mulDiv fidelity gap remains recorded in MulDivFidelity.lean.",model-local,not-run,model-proof,pending
APYX-PM-vault-roundtrip,life#59 Proof Map v2 §V2-G,"Conversion round-trips MUST NOT credit value to the user in either direction, and every max* limit MUST be zero while paused and balance-derived while live.",vault_roundtrip_assets_le; vault_roundtrip_shares_le; vault_paused_max_zero; vault_live_max_balances,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (model-local) / impl=not-run,"Vault.lean — Round-trip inequalities and pause gating, decomposed from req_erc4626_compliance into individually citable properties.",model-local,not-run,model-proof,pending
APYX-PM-vault-burn-pending,life#59 Proof Map v2 §V2-G,"A vault exit MUST record as the pending face amount exactly the asset value whose shares it burned: withdraw records the requested assets, redeem records the floor-converted share value, both at the standard cooldown maturity.",withdraw_burn_matches_pending; redeem_burn_matches_pending,Apyx deployed contracts,none (hand-off: README §6.4),model=proved (model-local) / impl=not-run,"Vault.lean — The v2-G burn/pending agreement: the recorded unlock entry at the fresh id is exactly (receiver, assets, now + cooldownPeriod) for withdraw and (receiver, redeemAssets shares rate, now + cooldownPeriod) for redeem, at the pulled rate. Ties the ERC-4626 exit surface to the unlock liability ledger of V2-ACC.",model-local,not-run,model-proof,pending
APYX-PM3-state-views,life#59 Proof Map v3 §STATE,"The protocol state MUST be reviewable as typed ledger, vault, redemption, reserve, authority, oracle, time, and external-state views, including both aggregate and per-address balances.",LedgerState; VaultState; RedemptionState; ReserveState; AuthorityRole; AuthorityState; OracleState; TimeState; ExternalState; protocolState_tick_frames; protocolState_roleGraph_lists_model_callers; ProtocolViewInvariant; protocolInvOutstanding_to_view; protocolInvFull_reachable_view,Apyx deployed contracts,none (handoff: implementation refinement),model=proved (view bridge) / impl=not-run,"Apyx.lean + Invariant.lean + Init.lean — ProtocolViewInvariant is derived from the existing pending-aware ledger, price, reserve, authority, and external-boundary facts; it is no longer only a projection schema.",model-local; reachable,not-run,model-proof,pending
APYX-PM3-op-family-total,life#59 Proof Map v3 §OPS,Every modeled operation MUST belong to an explicit operation family and accounting boundary so that later family-specific frame and threat proofs cannot silently omit an Op.,operationFamily; operationFamily_total; operationFamily_stepContract_scope; AccountingEffect; accountingEffect; accountingEffect_total; accountingEffect_preserving_scope,Apyx deployed contracts,none (handoff: implementation refinement),model=proved / impl=not-run,Phase.lean — Exhaustive operationFamily and AccountingEffect definitions are integrated with the existing opCoverage/stepContract layer.,model-local,not-run,model-proof,pending
APYX-PM3-threat-models,life#59 Proof Map v3 §THREAT,"Security claims MUST name the threat model, capabilities, and attacker objectives; a caller address alone is not an attacker model.",ThreatModel; AttackObjective; AttackerProfile; attackerCanIssue; AttackerTrace; totalKeyCompromiseTrace; totalKeyAttacker_allows_trace; totalKeyAttacker; passiveHolderAttacker,Apyx deployed contracts,none (handoff: authority and caller wiring),model=proved (trace capability) / impl=not-run,"BlastRadius.lean — Threat profiles expose controlled callers, permissionless operations, time, external calls, and objectives; AttackerTrace now constrains trace entries and the total-key profile is proved to allow every trace entry. Deployed role wiring remains open.",model-local; trace,not-run,model-proof,pending
APYX-PM3-passive-trace,life#59 Proof Map v3 §TRACE,"The passive-holder balance-isolation theorem MUST state its trace restrictions explicitly, including no calls by the protected holder and no targeted approved-RFQ redemption.",passiveHolderTrace,Apyx deployed contracts,none (handoff: implementation refinement),model=proved (trace premise) / impl=not-run,BlastRadius.lean — Named passiveHolderTrace packages the assumptions consumed by the existing total-key theorem.,trace,not-run,model-proof,pending
APYX-PM3-nominal-isolation,life#59 Proof Map v3 §ASSURANCE,"Under total-key compromise, a passive holder's recorded nominal apxUSD, apyUSD, and USDC balances MUST NOT decrease under the restricted modeled trace; this is not an economic-value theorem.",user_assets_immune_to_total_key_compromise; no_theft_ledger,Apyx deployed contracts,none (handoff: bytecode and economic-value analysis),model=proved (profile + passive trace) / impl=not-run,"BlastRadius.lean — The existing nominal-isolation and no-theft theorems now require `totalKeyCompromiseTrace σ ∧ passiveHolderTrace u σ`; the first conjunct is discharged by `totalKeyAttacker_allows_trace`, while victim non-participation and targeted-RFQ exclusion remain explicit.",trace; threat-model,not-run,model-proof,pending
APYX-PM3-claim-coverage,life#59 Proof Map v3 §USER-CLAIM,Each reachable standard or flexible redemption claim MUST be covered by modeled collateral plus reserve.,pending_claim_coverage_reachable; pending_claim_coverage_reachable_view,Apyx deployed contracts,none (handoff: external asset and bytecode refinement),model=proved (reachable) / impl=not-run,Accounting.lean — Existing standard/flexible reachable theorems are composed into one user-facing claim-coverage theorem and restated over the v3 ReserveState/RedemptionState views.,reachable,not-run,model-proof,pending
APYX-PM3-vault-obligations,life#59 Proof Map v3 §VAULT,A modeled vault withdrawal MUST preserve the unified apxUSD obligation ledger under the registry well-indexing premise.,apxUSDObligations_withdraw; apxUSDObligations_redeem,Apyx deployed contracts,none (handoff: ERC-4626 implementation conformance),model=proved (model-local) / impl=not-run,Accounting.lean + Vault.lean — Existing vault-exit accounting proofs connect custody movement to pending liabilities; this is not an ABI or bytecode proof.,model-local,not-run,model-proof,pending
APYX-PM3-admin-witnesses,life#59 Proof Map v3 §CAPABILITY,The model MUST expose explicit witnesses for the two material admin loss paths: reserve outflow and arbitrary nonzero redemption repricing.,admin_alone_drains_reserve; admin_alone_moves_redemption_price,Apyx deployed contracts,none (handoff: multisig/timelock wiring),model=witness / impl=not-run,"BlastRadius.lean — Existing witnesses quantify the chosen receiver and value; they are risk evidence, not a claim of safety.",witness,not-run,attack-witness,pending
APYX-PM3-attack-corpus,life#59 Proof Map v3 §ATTACK,"The audit surface MUST classify access-control, oracle, accounting, inflation, reentrancy, flash-loan, replay, upgrade, and denial-of-service patterns with stable source links, root causes, preconditions, traces, target assets, loss metrics, status, and threat models.",AttackPattern; attackPatternCatalog; attackPatternCatalog_records_are_complete; admin_alone_drains_reserve; redemption_price_writers; vault_roundtrip_assets_le; pending_claim_coverage_reachable,Apyx deployed contracts,DeFiHackLabs corpus review + implementation audit,model=partial / impl=not-run,"BlastRadius.lean — Nine normalized records are shape-checked; model evidence exists for access-control, price, accounting, and rounding, while external categories are explicitly implementation-audit-required.",model-local; implementation-handoff,not-run,model-partial,pending
APYX-PM3-implementation-handoff,life#59 Proof Map v3 §HANDOFF,"External calls, reentrancy, flash-loan composition, signatures, upgradeability, gas denial of service, and deployed authority wiring MUST remain visibly outside the current design-model theorem boundary until implementation checks are run.",step; ThreatModel; AttackerProfile,Apyx deployed contracts,Certora/Halmos/SMT/fuzzing/bytecode review,model=metadata / impl=not-run,Apyx.lean + BlastRadius.lean — The abstract step and threat profiles explicitly stop at the external/implementation boundary; no implementation result is inferred.,implementation-handoff,not-run,model-partial,pending
APYX-PM3-mixed-obligation-trace,life#59 Proof Map v3 §ACCOUNTING,"The modeled mixed lifecycle trace MUST state its operation scope and preserve the unified obligation measure across accepted and reverted entries, with flexible-claim fees explicit.",obligationTraceOp; obligationStepPremises; ObligationTrace; obligationTrace_execTrace_le; SolventObligations; obligation_backing_frame; solventObligations_step; solventObligations_trace; solventObligations_fundedInit,Apyx deployed contracts,none (handoff: external custody and omitted inflows),model=proved (scoped trace) / impl=not-run,"Accounting.lean — lock/request/claim, both vault exits, and tick compose under explicit registry/supply premises; the stronger SolventObligations route also frames totalCollateralValue and usdcReserve across accepted lifecycle steps, lifts the backing inequality to the same trace, and has a concrete fundedInit anchor. Deposit, mint, creditYield, RFQ/pool settlement, reserve outflow, and backstop remain outside.",trace; custody-aware; funded-witness,not-run,model-proof,pending
APYX-PM3-async-vault-family,life#59 Proof Map v3 §ASYNC,All four modeled CommitToken async-vault instances MUST be named and share the cooldown/claim proof family.,CommitToken.liveDeployments; CommitToken.cycle_closes_after_the_delay; CommitToken.raising_the_delay_unclaims_pending_requests,Apyx deployed contracts,none (handoff: deployed addresses and implementation refinement),model=partial (family schema) / impl=not-run,"CommitToken.lean — CT-apxUSD, CT-apyUSDapx, CT-apxUSDUSDC, and apxUSD_unlock are enumerated; the parameterized state machine and delay proofs are shared, but no cross-contract bytecode simulation is claimed.",model-local; implementation-handoff,not-run,model-partial,pending
APYX-PM3-authority-map,life#59 Proof Map v3 §AUTHORITY,"The assurance surface MUST expose role, delay, authority-change, upgrade, beneficiary, and unresolved Safe/role-graph facts instead of treating caller=admin as deployment proof.",AuthorityDeploymentRecord; authorityDeploymentMap; authorityDeploymentUnknowns,Apyx deployed contracts,AccessManager/config review,model=formalized (deployment-derived) / impl=not-run,"DeploymentGaps.lean — role 22 (4h), role 24 (3d), role 41 (undelayed), and role 0 (direct admin) are consolidated; threshold, full graph, setAuthority and storage facts remain unknowns.",deployment-derived; implementation-handoff,not-run,deployment-reading,pending
APYX-PM3-external-boundary,life#59 Proof Map v3 §EXTERNAL,"External calls, callback/reentrancy, flash loans, oracle freshness, signatures, upgrades, and gas/DoS MUST have typed handoff records and no inferred resistance claim.",ExternalExecution; ExternalRisk; ExternalHandoff; externalHandoffCatalog; modelExternalExecution_has_no_callback,Apyx deployed contracts,bytecode call-graph/config/gas review,model=partial / impl=not-run,"Transition.lean — `stepResult` is an atomic model wrapper; the catalog names six external checks, and the no-callback theorem is only model-local, not a deployment reentrancy theorem.",model-local; implementation-handoff,not-run,model-partial,pending
APYX-PM3-refinement-schema,life#59 Proof Map v3 §REFINEMENT,The implementation boundary MUST be represented as ImplState → ProtocolState → Prop with an explicit forward-simulation obligation.,ImplState; Rep; ForwardSimulation; refinementStatus,Apyx deployed contracts,bytecode extraction + simulation proof,model=metadata / impl=not-run,Apyx.lean — `Rep` and `ForwardSimulation` are defined as the target schema; no Solidity/storage extraction or simulation proof is claimed.,implementation-handoff,not-run,model-partial,pending
APYX-PM3-operation-contracts,life#59 Proof Map v3 §CONTRACTS,"Every public operation MUST have separately reviewable precondition, postcondition, revert, frame, and relational contract status.",operationContract; operationContract_family; operationContract_accounting; operationContract_dimensions_explicit; OperationContractProof; operationContract_proof; stepContract,Apyx deployed contracts,Lean model plus implementation audit,model=coverage-index + model-proof / impl=not-run,"Phase.lean — Every `Op` constructor has five explicit dimension statuses, and the model-local portion is connected to the existing total `stepContract` through `OperationContractProof`; `incomplete`, `notModeled`, and `handoff` entries remain visible residuals rather than proof claims.",model-local; implementation-handoff,not-run,model-partial,pending
